scenario,region,subresource,Basin,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Eastern,runoff,AfrCstNE_water withdrawals,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,38.801,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Eastern,runoff,Madagascar_water withdrawals,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,451.34,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Eastern,runoff,NileR_water withdrawals,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,209.187,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Eastern,runoff,RiftValley_water withdrawals,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,118.006,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Eastern,runoff,ShebJubR_water withdrawals,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,114.606,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Northern,runoff,AfrCstNW_water withdrawals,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,43.0346,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Northern,runoff,AfrIntN_water withdrawals,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,41.9535,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Northern,runoff,MeditS_water withdrawals,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,48.5881,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Northern,runoff,SinaiP_water withdrawals,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,0.17306,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Southern,runoff,AfrCstE_water withdrawals,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,232.19,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Southern,runoff,AfrCstSE_water withdrawals,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,32.2883,km^3
"ARM_Policy_10pa_2025,date=2022-29-4T09:20:06-04:00",Africa_Southern,runoff,AfrCstSW_water withdrawals,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,8.47461,km^3
